epoch,train_loss,train_acc,val_loss,val_acc
1,1.056639104986343,0.6616080937167199,0.907319465029573,0.6884154460719041
2,0.9105133318418639,0.6833067092651757,0.8268719559979344,0.7097203728362184
3,0.8498654238586101,0.6979499467518637,0.7482334865076088,0.7290279627163782
4,0.7858617508881135,0.713125665601704,0.7143685521679458,0.7316910785619174
5,0.7540388893141661,0.722577209797657,0.7278146485037873,0.7230359520639148
6,0.725406164686266,0.7369542066027689,0.6662876088514468,0.7616511318242344
7,0.7084520980953789,0.7401490947816827,0.6689924673932529,0.7450066577896138
8,0.6832146381163876,0.7492012779552716,0.6728581057963137,0.7490013315579228
9,0.6684704572121049,0.7594515441959532,0.6708907905653536,0.7509986684420772
10,0.6546098908232931,0.7621139510117146,0.6794499125525097,0.7503328894806924
